Round,Devices,Workload,Avg_Pos,Signal(dB),CPU (%),Memory (%),Storage (%),Paradigm,Avg_Tx(ms),Avg_Prop(ms),Tx_Cost,Proc_Cost,Energy,Conges(%),Flag,Failed
1,100,1000,384.65,-52.83,0.71,0.67,0.25,Edge_1,0.49,0.01,0.02,0.05,0.0035,0.61,1,0
2,110,1100,384.64,-52.8,1.14,1.07,0.4,Edge_1,0.49,0.01,0.02,0.06,0.0038,0.67,1,0
3,120,1200,384.62,-53.03,1.61,1.5,0.56,Edge_1,0.49,0.01,0.02,0.06,0.0042,0.73,3,0
4,130,1300,384.59,-53.01,2.11,1.97,0.74,Edge_1,0.49,0.01,0.03,0.07,0.0046,0.79,3,0
5,140,1400,384.56,-53.12,2.64,2.47,0.92,Edge_1,0.49,0.01,0.03,0.07,0.0049,0.85,3,0
6,150,1500,384.51,-53.29,3.21,3.0,1.12,Edge_1,0.49,0.01,0.03,0.08,0.0053,0.91,1,0
7,160,1600,384.46,-53.27,3.82,3.57,1.34,Edge_1,0.49,0.01,0.03,0.08,0.0056,0.98,2,0
8,170,1700,384.39,-53.24,4.46,4.17,1.56,Edge_1,0.49,0.01,0.03,0.09,0.006,1.04,3,0
9,180,1800,384.32,-53.31,5.14,4.8,1.8,Edge_1,0.49,0.01,0.04,0.09,0.0063,1.1,2,0
10,190,1900,384.25,-53.26,5.86,5.47,2.05,Edge_1,0.49,0.01,0.04,0.1,0.0067,1.16,1,0
11,200,2000,384.16,-53.2,6.61,6.17,2.31,Edge_1,0.49,0.01,0.04,0.1,0.007,1.22,2,0
12,210,2100,384.06,-53.17,7.39,6.9,2.59,Edge_1,0.49,0.01,0.04,0.11,0.0074,1.28,2,0
13,220,2200,383.95,-53.17,8.21,7.67,2.88,Edge_1,0.49,0.01,0.04,0.11,0.0077,1.34,1,0
14,230,2300,383.84,-53.17,9.07,8.47,3.17,Edge_1,0.49,0.01,0.05,0.12,0.0081,1.4,1,0
15,240,2400,383.71,-53.25,9.96,9.3,3.49,Edge_1,0.49,0.01,0.05,0.12,0.0084,1.46,2,0
16,250,2500,383.58,-53.37,10.89,10.17,3.81,Edge_1,0.49,0.01,0.05,0.13,0.0088,1.52,3,0
17,260,2600,383.44,-53.33,11.86,11.07,4.15,Edge_1,0.49,0.01,0.05,0.13,0.0091,1.59,1,0
18,270,2700,383.28,-53.31,12.86,12.0,4.5,Edge_1,0.49,0.01,0.05,0.14,0.0095,1.65,1,0
19,280,2800,383.12,-53.39,13.89,12.97,4.86,Edge_1,0.49,0.01,0.06,0.14,0.0098,1.71,1,0
20,290,2900,382.94,-53.44,14.96,13.97,5.24,Edge_1,0.49,0.01,0.06,0.15,0.0102,1.77,2,0
21,300,3000,382.76,-53.39,16.07,15.0,5.62,Edge_1,0.49,0.01,0.06,0.15,0.0105,1.83,1,0
22,310,3100,382.58,-53.4,17.21,16.07,6.02,Edge_1,0.49,0.01,0.06,0.16,0.0109,1.89,3,0
23,320,3200,382.4,-53.46,18.39,17.17,6.44,Edge_1,0.49,0.01,0.06,0.16,0.0112,1.95,1,0
24,330,3300,382.22,-53.4,19.61,18.3,6.86,Edge_1,0.49,0.01,0.07,0.17,0.0116,2.01,1,0
25,340,3400,382.04,-53.37,20.86,19.47,7.3,Edge_1,0.49,0.01,0.07,0.17,0.0119,2.07,2,0
26,350,3500,381.86,-53.48,22.14,20.67,7.75,Edge_1,0.49,0.01,0.07,0.18,0.0123,2.13,3,0
27,360,3600,381.68,-53.47,23.46,21.9,8.21,Edge_1,0.49,0.01,0.07,0.18,0.0126,2.2,1,0
28,370,3700,381.49,-53.48,24.82,23.17,8.69,Edge_1,0.49,0.01,0.07,0.19,0.013,2.26,2,0
29,380,3800,381.31,-53.53,26.21,24.47,9.18,Edge_1,0.49,0.01,0.08,0.19,0.0133,2.32,3,0
30,390,3900,381.13,-53.53,27.64,25.8,9.68,Edge_1,0.49,0.01,0.08,0.2,0.0137,2.38,3,0
31,400,4000,380.95,-53.45,29.11,27.17,10.19,Edge_1,0.49,0.01,0.08,0.2,0.014,2.44,2,0
32,410,4100,380.77,-53.49,30.61,28.57,10.71,Edge_1,0.49,0.01,0.08,0.21,0.0144,2.5,1,0
33,420,4200,380.59,-53.54,32.14,30.0,11.25,Edge_1,0.49,0.01,0.08,0.21,0.0147,2.56,2,0
34,430,4300,380.41,-53.61,33.71,31.47,11.8,Edge_1,0.49,0.01,0.09,0.22,0.0151,2.62,3,0
35,440,4400,380.23,-53.58,35.32,32.97,12.36,Edge_1,0.49,0.01,0.09,0.22,0.0154,2.68,1,0
36,450,4500,380.05,-53.59,36.96,34.5,12.94,Edge_1,0.49,0.01,0.09,0.23,0.0158,2.74,3,0
